hex,callsign,datetime,squawk,altitude,latitude,longitude,type,heading,ground speed,indicated airspeed
ae1449,RCH045,2025-05-24 15:21:15.114845,7376,36000,37.993607,-100.50399,C-17A Globemaster,248,407,
ae20c6,RCH878,2025-05-24 15:21:15.114854,1772,35000,42.156067,-80.705215,C-17A Globemaster,88,566,
ae1176,GRIT58,2025-05-24 15:21:15.114859,4501,1350,25.524824,-80.305443,C-17A Globemaster,238,260,
ae1469,RCH676,2025-05-24 15:21:15.114866,1330,12000,43.679703,-70.309883,C-17A Globemaster,41,371,
ae1196,RCH333,2025-05-24 15:21:15.114871,2401,36000,49.009823,-63.714775,C-17A Globemaster,254,443,
ae1235,RCH863,2025-05-24 15:22:15.479433,727,36000,47.960045,-117.586838,C-17A Globemaster,288,419,
ae1449,RCH045,2025-05-24 15:22:15.479454,7376,36000,37.963413,-100.59359,C-17A Globemaster,247,394,
ae20c6,RCH878,2025-05-24 15:22:15.479463,1772,35000,42.162266,-80.493568,C-17A Globemaster,88,562,
ae1176,GRIT58,2025-05-24 15:22:15.479468,4501,900,25.486313,-80.353546,C-17A Globemaster,220,173,
ae1469,RCH676,2025-05-24 15:22:15.479475,1330,13075,43.759735,-70.213417,C-17A Globemaster,41,378,
ae1196,RCH333,2025-05-24 15:22:15.479480,2401,36025,48.975769,-63.895218,C-17A Globemaster,252,445,
ae1235,RCH863,2025-05-24 15:23:16.135594,727,36000,48.000561,-117.761734,C-17A Globemaster,290,425,
ae1449,RCH045,2025-05-24 15:23:16.135613,7376,36000,37.909786,-100.756271,C-17A Globemaster,248,400,
ae1176,GRIT58,2025-05-24 15:23:16.135622,4501,950,25.453217,-80.389,C-17A Globemaster,227,169,
ae20c6,RCH878,2025-05-24 15:23:16.135627,1772,35000,42.166313,-80.292915,C-17A Globemaster,89,559,
ae1469,RCH676,2025-05-24 15:23:16.135633,1330,14150,43.840454,-70.115959,C-17A Globemaster,41,389,
ae1196,RCH333,2025-05-24 15:23:16.135637,2401,36025,48.937271,-64.074165,C-17A Globemaster,251,448,
ae1235,RCH863,2025-05-24 15:24:16.459181,727,36000,48.038681,-117.932541,C-17A Globemaster,288,437,
c2b3d7,CFC4069,2025-05-24 15:24:16.459197,1774,3075,53.270325,-113.532005,C-17A Globemaster,130,211,
ae1449,RCH045,2025-05-24 15:24:16.459205,7376,36000,37.867752,-100.887085,C-17A Globemaster,247,393,
ae1176,GRIT58,2025-05-24 15:24:16.459212,4501,875,25.448868,-80.42704,C-17A Globemaster,357,145,
ae20c6,RCH878,2025-05-24 15:24:16.459216,1772,34975,42.171673,-80.075401,C-17A Globemaster,89,555,
ae1469,RCH676,2025-05-24 15:24:16.459222,1330,15725,43.917381,-70.022011,C-17A Globemaster,43,382,
ae1196,RCH333,2025-05-24 15:24:16.459227,2401,36000,48.897354,-64.25882,C-17A Globemaster,251,453,
ae1235,RCH863,2025-05-24 15:25:16.866924,727,36000,48.076359,-118.099899,C-17A Globemaster,289,421,
c2b3d7,CFC4069,2025-05-24 15:25:16.866942,1774,5800,53.263779,-113.430779,C-17A Globemaster,59,275,
ae1449,RCH045,2025-05-24 15:25:16.866950,7376,36000,37.830124,-101.005081,C-17A Globemaster,247,394,
ae1176,GRIT58,2025-05-24 15:25:16.866958,4501,125,25.474409,-80.40168,C-17A Globemaster,49,117,
ae20c6,RCH878,2025-05-24 15:25:16.866964,1772,35000,42.176548,-79.881645,C-17A Globemaster,90,544,
ae1469,RCH676,2025-05-24 15:25:16.866970,1330,16700,44.000648,-69.921135,C-17A Globemaster,40,396,
ae1196,RCH333,2025-05-24 15:25:16.866975,2401,36025,48.858536,-64.43869,C-17A Globemaster,251,458,
ae1235,RCH863,2025-05-24 15:26:17.210417,727,36000,48.114189,-118.270424,C-17A Globemaster,288,444,
c2b3d7,CFC4069,2025-05-24 15:26:17.210434,1774,9000,53.303101,-113.314011,C-17A Globemaster,62,294,
ae1449,RCH045,2025-05-24 15:26:17.210442,7376,36000,37.789154,-101.131607,C-17A Globemaster,250,396,
ae20c6,RCH878,2025-05-24 15:26:17.210449,1772,35000,42.179585,-79.678734,C-17A Globemaster,89,538,
ae1469,RCH676,2025-05-24 15:26:17.210455,1330,17750,44.086224,-69.817146,C-17A Globemaster,41,404,
ae1196,RCH333,2025-05-24 15:26:17.210459,2401,36000,48.81831,-64.623894,C-17A Globemaster,251,455,
ae1235,RCH863,2025-05-24 15:27:17.584806,727,36000,48.147823,-118.44075,C-17A Globemaster,289,423,
c2b3d7,CFC4069,2025-05-24 15:27:17.584824,1774,11250,53.332397,-113.181313,C-17A Globemaster,91,332,
ae1449,RCH045,2025-05-24 15:27:17.584833,7376,36000,37.745235,-101.265366,C-17A Globemaster,248,403,
ae20c6,RCH878,2025-05-24 15:27:17.584841,1772,35000,42.182678,-79.469749,C-17A Globemaster,89,524,
ae1469,RCH676,2025-05-24 15:27:17.584847,1330,18650,44.168831,-69.716232,C-17A Globemaster,37,410,
ae1196,RCH333,2025-05-24 15:27:17.584853,2401,36000,48.778336,-64.80574,C-17A Globemaster,251,457,
ae145b,RCH813,2025-05-24 15:28:17.916994,3232,2350,38.234005,-121.964149,C-17A Globemaster,226,172,
ae1235,RCH863,2025-05-24 15:28:17.917012,727,36000,48.191246,-118.616463,C-17A Globemaster,289,438,
c2b3d7,CFC4069,2025-05-24 15:28:17.917020,1774,13275,53.322701,-113.014099,C-17A Globemaster,95,370,
ae1449,RCH045,2025-05-24 15:28:17.917027,7376,36000,37.702888,-101.394196,C-17A Globemaster,250,396,
ae20c6,RCH878,2025-05-24 15:28:17.917035,1772,35000,42.184746,-79.263107,C-17A Globemaster,90,525,
ae1469,RCH676,2025-05-24 15:28:17.917041,1330,19700,44.256065,-69.608147,C-17A Globemaster,42,423,
ae1196,RCH333,2025-05-24 15:28:17.917047,2401,36025,48.738647,-64.98455,C-17A Globemaster,251,458,
ae145b,RCH813,2025-05-24 15:29:18.279966,3232,4000,38.195164,-121.965569,C-17A Globemaster,116,257,
ae1235,RCH863,2025-05-24 15:29:18.279984,727,36000,48.22937,-118.789154,C-17A Globemaster,288,432,
c2b3d7,CFC4069,2025-05-24 15:29:18.279993,1774,15275,53.31097,-112.837105,C-17A Globemaster,96,396,
ae1449,RCH045,2025-05-24 15:29:18.280000,7376,36000,37.661266,-101.514519,C-17A Globemaster,248,381,
ae20c6,RCH878,2025-05-24 15:29:18.280008,1772,35000,42.196079,-79.073082,C-17A Globemaster,82,516,
ae1469,RCH676,2025-05-24 15:29:18.280014,1330,20600,44.342289,-69.499756,C-17A Globemaster,44,432,
ae1196,RCH333,2025-05-24 15:29:18.280020,2401,36000,48.696625,-65.172516,C-17A Globemaster,251,459,
ae145b,RCH813,2025-05-24 15:30:18.618281,3232,5300,38.174294,-121.896873,C-17A Globemaster,114,246,
ae1235,RCH863,2025-05-24 15:30:18.618299,727,36000,48.263382,-118.950745,C-17A Globemaster,287,430,
c2b3d7,CFC4069,2025-05-24 15:30:18.618306,1774,17425,53.297611,-112.650093,C-17A Globemaster,96,413,
ae1449,RCH045,2025-05-24 15:30:18.618314,7376,36025,37.615566,-101.65699,C-17A Globemaster,246,433,
ae20c6,RCH878,2025-05-24 15:30:18.618321,1772,35000,42.219139,-78.875015,C-17A Globemaster,82,526,
ae1469,RCH676,2025-05-24 15:30:18.618327,1330,21525,44.435078,-69.384354,C-17A Globemaster,42,424,
ae1196,RCH333,2025-05-24 15:30:18.618333,2401,36025,48.655746,-65.353691,C-17A Globemaster,251,457,
ae145b,RCH813,2025-05-24 15:31:18.971935,3232,6850,38.147701,-121.807953,C-17A Globemaster,110,289,
ae1235,RCH863,2025-05-24 15:31:18.971954,727,36000,48.301804,-119.126656,C-17A Globemaster,287,444,
c2b3d7,CFC4069,2025-05-24 15:31:18.971962,1774,19450,53.283134,-112.455734,C-17A Globemaster,97,429,
