hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
ae0572,2026-08-14 01:06:00.309965,RCH2038,86-0021,1624,35000,34.554424,-99.003578,C-5M Galaxy,44,481,-64,False,adsb_icao
ae5e13,2026-08-14 01:06:00.309978,KANZA54,17-46038,2122,4200,37.827099,-97.18914,KC-46A Pegasus,263,185,63,False,mlat
ae01d3,2026-08-14 01:06:00.309985,HOOVR29,62-4129,4232,3125,41.057327,-96.006714,RC-135 Rivet Joint,136,194,640,False,adsb_icao
ae01cb,2026-08-14 01:06:00.309989,TOPCT35,62-4135,2610,4125,40.998962,-95.664429,RC-135 Rivet Joint,37,212,-128,False,adsb_icao
afd85f,2026-08-14 01:06:00.309994,UNK C/S,,0667,20000,31.313913,-94.698174,E-6B TACAMO,355,422,21,False,mlat
ae5e12,2026-08-14 01:06:00.310000,RCH429,17-46037,2132,31000,39.730206,-92.323135,KC-46A Pegasus,61,511,75,False,mlat
ae015f,2026-08-14 01:06:00.310021,RCH406,58-0119,2344,6225,35.879299,-84.112488,KC-135R Stratotanker,218,204,-1077,False,mlat
ae5ba6,2026-08-14 01:06:00.310031,FIXER02,168993,5101,4500,29.960587,-80.703842,E-2 Hawkeye,228,201,64,False,adsb_icao
ae0804,2026-08-14 01:06:00.310035,RCH696,99-0058,7147,30000,38.735138,-80.514771,C-17A Globemaster,248,433,,False,adsb_icao
ae144e,2026-08-14 01:06:00.310046,SLAM91,05-5144,1623,2000,40.0723,-74.544022,C-17A Globemaster,348,196,1210,False,mlat
ae07cf,2026-08-14 01:06:00.310051,RCH405,89-1191,7047,30000,41.784195,-72.060387,C-17A Globemaster,212,448,0,False,mlat
33fe7d,2026-08-14 01:06:00.310059,IAM1437,MM62227,6662,35000,18.052818,-24.094488,KC-46A Pegasus,30,461,,False,adsb_icao
ae49c3,2026-08-14 01:06:00.310063,RCH220,09-9207,Unavailable,Unavailable,3.759899,-2.825203,C-17A Globemaster,67,416,-32,False,mode_s
ae0813,2026-08-14 01:06:00.310070,RCH312,00-0177,1142,8900,49.647861,7.078896,C-17A Globemaster,172,281,-1047,False,mlat
06a256,2026-08-14 01:06:00.310075,LHOB282,A7-MAE,4311,33000,35.621521,22.668343,C-17A Globemaster,115,478,,False,adsb_icao
ae146f,2026-08-14 01:06:00.310079,MOOSE59,07-7177,0762,34000,38.752506,24.81768,C-17A Globemaster,344,456,0,False,mlat
ae04dc,2026-08-14 01:06:00.310084,UNK C/S,57-1461,3423,19000,30.905594,35.609447,KC-135R Stratotanker,76,409,0,False,mlat
ae068e,2026-08-14 01:06:00.310089,UNK C/S,62-3529,3416,21025,31.097162,36.07045,KC-135R Stratotanker,262,400,0,False,mlat
ae04eb,2026-08-14 01:06:00.310098,UNK C/S,61-0311,3561,24975,48.7,-112.5,KC-135R Stratotanker,,,,False,mode_s
ae5bc2,2026-08-14 01:06:00.310104,KROME11,16-46017,Unavailable,12000,46.7,-113.9,KC-46A Pegasus,,,,False,mode_s
aefa7d,2026-08-14 01:06:00.310110,UNK C/S,,Unavailable,Unavailable,26.4,-96.7,E-6B TACAMO,,,,False,mode_s
ae056b,2026-08-14 01:06:00.310115,RCH2036,86-0014,Unavailable,5125,31.4,-105.9,C-5M Galaxy,,,,False,mode_s
ae0593,2026-08-14 01:06:00.310121,UNK C/S,58-0113,3576,26000,49.3,-112.2,KC-135R Stratotanker,,,,False,mode_s
c2afc7,2026-08-14 01:07:00.543077,CFC3603,177702,2444,875,21.325195,-157.99144,C-17A Globemaster,90,118,-256,False,adsb_icao
ae49c5,2026-08-14 01:07:00.543097,UNK C/S,09-9209,2231,9950,21.268963,-157.901382,C-17A Globemaster,234,369,73,False,mlat
ae0483,2026-08-14 01:07:00.543106,UNK C/S,60-0339,4604,4050,65.014503,-147.482376,KC-135R Stratotanker,280,329,32,False,mlat
afde25,2026-08-14 01:07:00.543111,UNK C/S,,0642,24000,39.329018,-123.275696,E-6B TACAMO,238,452,0,False,mlat
ae117c,2026-08-14 01:07:00.543117,UNK C/S,02-1110,4620,975,47.104275,-122.476173,C-17A Globemaster,356,111,-1066,False,mlat
ae5bc2,2026-08-14 01:07:00.543135,KROME11,16-46017,Unavailable,12000,47.14436,-114.17086,KC-46A Pegasus,,,0,False,mlat
ae0572,2026-08-14 01:07:00.543151,RCH2038,86-0021,1624,35000,34.649918,-98.890236,C-5M Galaxy,44,482,64,False,adsb_icao
ae5e13,2026-08-14 01:07:00.543167,KANZA54,17-46038,2122,4225,37.792015,-97.222008,KC-46A Pegasus,182,158,59,False,mlat
ae01d3,2026-08-14 01:07:00.543176,HOOVR29,62-4129,4232,3100,41.019104,-95.956055,RC-135 Rivet Joint,133,196,64,False,adsb_icao
ae01cb,2026-08-14 01:07:00.543180,TOPCT35,62-4135,2610,4100,40.988846,-95.599792,RC-135 Rivet Joint,129,207,128,False,adsb_icao
afd85f,2026-08-14 01:07:00.543186,UNK C/S,,0667,20000,31.425419,-94.705666,E-6B TACAMO,357,403,-78,False,mlat
ae5e12,2026-08-14 01:07:00.543193,RCH429,17-46037,2132,31000,39.797955,-92.161461,KC-46A Pegasus,61,540,0,False,mlat
ae015f,2026-08-14 01:07:00.543221,RCH406,58-0119,2344,5150,35.840019,-84.15451,KC-135R Stratotanker,221,191,-959,False,mlat
ae5ba6,2026-08-14 01:07:00.543232,FIXER02,168993,5101,4450,29.959995,-80.760117,E-2 Hawkeye,308,187,-320,False,adsb_icao
ae0804,2026-08-14 01:07:00.543236,RCH696,99-0058,7147,30000,38.692406,-80.656738,C-17A Globemaster,248,433,,False,adsb_icao
ae144e,2026-08-14 01:07:00.543250,SLAM91,05-5144,1623,3825,40.131809,-74.559967,C-17A Globemaster,341,242,2361,False,mlat
ae07cf,2026-08-14 01:07:00.543257,RCH405,89-1191,7047,30000,41.678486,-72.151215,C-17A Globemaster,213,444,0,False,mlat
33fe7d,2026-08-14 01:07:00.543266,IAM1437,MM62227,6662,35000,18.159668,-24.027485,KC-46A Pegasus,30,460,,False,adsb_icao
ae49c3,2026-08-14 01:07:00.543270,RCH220,09-9207,Unavailable,Unavailable,3.759899,-2.825203,C-17A Globemaster,67,416,-32,False,mode_s
ae0813,2026-08-14 01:07:00.543279,RCH312,00-0177,1142,7875,49.569691,7.093476,C-17A Globemaster,173,278,-1047,False,mlat
06a256,2026-08-14 01:07:00.543283,LHOB282,A7-MAE,4311,33000,35.564255,22.817574,C-17A Globemaster,115,477,,False,adsb_icao
ae146f,2026-08-14 01:07:00.543288,MOOSE59,07-7177,0762,34000,38.851692,24.755903,C-17A Globemaster,338,491,0,False,mlat
